epoch_from,epoch_to,metric,rank_correlation,p_value
0,1,latent_error,0.12781366381366382,5.04779027682579e-05
0,1,variance,0.9367165580079051,0.0
0,1,entropy,1.0,0.0
0,1,edge_density,1.0,0.0
0,1,entropy_diff,0.4437036890281334,1.740835788992325e-49
0,1,edge_diff,0.3331208011208011,2.4303746618606657e-27
1,2,latent_error,0.693894093894094,1.6777600099074557e-144
1,2,variance,0.9120317286565853,0.0
1,2,entropy,1.0,0.0
1,2,edge_density,1.0,0.0
1,2,entropy_diff,0.4860466135442918,2.0385491028202298e-60
1,2,edge_diff,0.31559099159099163,1.4560207074119834e-24
2,3,latent_error,0.780961032961033,3.206885863375266e-206
2,3,variance,0.9287432610330992,0.0
2,3,entropy,1.0,0.0
2,3,edge_density,1.0,0.0
2,3,entropy_diff,0.485611977637173,2.688462734079824e-60
2,3,edge_diff,0.338952074952075,2.6353320718340644e-28
3,4,latent_error,0.8499191979191979,5.864006233746971e-280
3,4,variance,0.9569848673396404,0.0
3,4,entropy,1.0,0.0
3,4,edge_density,1.0,0.0
3,4,entropy_diff,0.49078982562404244,9.692709543795492e-62
3,4,edge_diff,0.3183545113095748,5.462384663229294e-25
4,5,latent_error,0.7194580434580435,3.5988985913523674e-160
4,5,variance,0.9471479293551482,0.0
4,5,entropy,1.0,0.0
4,5,edge_density,1.0,0.0
4,5,entropy_diff,0.5253987700083405,4.753994828051341e-72
4,5,edge_diff,0.3512280702817545,2.09496898269851e-30
5,6,latent_error,0.648963360963361,1.2841459384327043e-120
5,6,variance,0.9277449684443779,0.0
5,6,entropy,1.0,0.0
5,6,edge_density,1.0,0.0
5,6,entropy_diff,0.4728113893219944,7.80811017098835e-57
5,6,edge_diff,0.32132090132090135,1.8851689202984261e-25
6,7,latent_error,0.5651640491640493,1.815260971650145e-85
6,7,variance,0.9079140657040033,0.0
6,7,entropy,1.0,0.0
6,7,edge_density,1.0,0.0
6,7,entropy_diff,0.49978175127585867,2.635126277956154e-64
6,7,edge_diff,0.37016769527819837,7.843382556784395e-34
7,8,latent_error,0.8725225045225046,1.032230924637e-312
7,8,variance,0.9245899580063475,0.0
7,8,entropy,1.0,0.0
7,8,edge_density,1.0,0.0
7,8,entropy_diff,0.49104192030005217,8.232897883864814e-62
7,8,edge_diff,0.3110165399495896,7.214131470650283e-24
8,9,latent_error,0.9313313113313115,0.0
8,9,variance,0.9166451261449968,0.0
8,9,entropy,1.0,0.0
8,9,edge_density,1.0,0.0
8,9,entropy_diff,0.49829502924388014,7.084349919563882e-64
8,9,edge_diff,0.2918447438447439,4.371517647634634e-21
9,10,latent_error,0.8850288090288091,0.0
9,10,variance,0.9426622196301396,0.0
9,10,entropy,1.0,0.0
9,10,edge_density,1.0,0.0
9,10,entropy_diff,0.4702510289478068,3.696282341156477e-56
9,10,edge_diff,0.3168250608250609,9.409846217730136e-25
10,11,latent_error,0.9318342318342318,0.0
10,11,variance,0.939785828340688,0.0
10,11,entropy,1.0,0.0
10,11,edge_density,1.0,0.0
10,11,entropy_diff,0.5233875512383644,2.038051723519197e-71
10,11,edge_diff,0.34652750252750253,1.3684558034137138e-29
11,12,latent_error,0.8796566436566438,0.0
11,12,variance,0.9229947248396456,0.0
11,12,entropy,1.0,0.0
11,12,edge_density,1.0,0.0
11,12,entropy_diff,0.5125206717460438,4.4920845178415845e-68
11,12,edge_diff,0.34290778290778295,5.68162932815229e-29
12,13,latent_error,0.8565390645390646,5.791601966161823e-289
12,13,variance,0.8921352621936969,0.0
12,13,entropy,1.0,0.0
12,13,edge_density,1.0,0.0
12,13,entropy_diff,0.4831665478635457,1.2661428354141224e-59
12,13,edge_diff,0.3553927393927394,3.867380988493571e-31
13,14,latent_error,0.905992097992098,0.0
13,14,variance,0.9218949947861594,0.0
13,14,entropy,1.0,0.0
13,14,edge_density,1.0,0.0
13,14,entropy_diff,0.49198312031476577,4.470441798336624e-62
13,14,edge_diff,0.31263159756949244,4.1132890603465245e-24
14,15,latent_error,0.8478321438321439,3.2924620847840975e-277
14,15,variance,0.9418385684426941,0.0
14,15,entropy,1.0,0.0
14,15,edge_density,1.0,0.0
14,15,entropy_diff,0.5381456566034045,3.7158022872511615e-76
14,15,edge_diff,0.3521217711781365,1.4609783400933166e-30
15,16,latent_error,0.9126819006819008,0.0
15,16,variance,0.9439428429338141,0.0
15,16,entropy,1.0,0.0
15,16,edge_density,1.0,0.0
15,16,entropy_diff,0.48700155538456935,1.108301523332766e-60
15,16,edge_diff,0.28597856283649853,2.823130993150133e-20
16,17,latent_error,0.8523091563091564,3.6979486845611082e-283
16,17,variance,0.9583768716276553,0.0
16,17,entropy,1.0,0.0
16,17,edge_density,1.0,0.0
16,17,entropy_diff,0.48353958189143814,1.0004061709456608e-59
16,17,edge_diff,0.329700420689522,8.750025424612983e-27
17,18,latent_error,0.7380796980796981,9.885222263499075e-173
17,18,variance,0.9682997028241983,0.0
17,18,entropy,1.0,0.0
17,18,edge_density,1.0,0.0
17,18,entropy_diff,0.4958261408010976,3.621382281614826e-63
17,18,edge_diff,0.36074960474960477,4.240001282505604e-32
18,19,latent_error,0.7097397977397978,5.173443916925842e-154
18,19,variance,0.9733706738114578,0.0
18,19,entropy,1.0,0.0
18,19,edge_density,1.0,0.0
18,19,entropy_diff,0.48638362676107944,1.6444215740197726e-60
18,19,edge_diff,0.3219485619485619,1.5028770421141612e-25
19,20,latent_error,0.8832947232947232,0.0
19,20,variance,0.9655603965272082,0.0
19,20,entropy,1.0,0.0
19,20,edge_density,1.0,0.0
19,20,entropy_diff,0.4487939536041542,1.01506077643109e-50
19,20,edge_diff,0.3370441950664602,5.480167728471532e-28
20,21,latent_error,0.810915786915787,1.7189905669627697e-234
20,21,variance,0.9615519908599267,0.0
20,21,entropy,1.0,0.0
20,21,edge_density,1.0,0.0
20,21,entropy_diff,0.4094037623705092,1.073269057252586e-41
20,21,edge_diff,0.3085111423622092,1.7127868204240258e-23
