epoch,method,overall_accuracy,optimal_threshold_max_diff,max_accuracy_difference,easy_accuracy,hard_accuracy,easy_samples,hard_samples,threshold_p25,threshold_p50,threshold_p75,bimodal_threshold,difficulty_range,difficulty_std,difficulty_correlation
0,entropy,0.02,0.9942239761352538,0.4040067168676461,0.42028985507246375,0.016283138204817655,414,44586,0.9962405681610107,0.9996015548706054,0.9996015548706054,0.9969127655029297,0.006721973419189453,0.001817347016185522,-0.03389616055474728
1,entropy,0.03957777777777778,0.8154338300228119,0.14731333027705096,0.18604651162790697,0.038733181350856016,258,44742,0.9380339682102203,0.9625539958477021,0.9870740234851837,0.888993912935257,0.2452002763748169,0.03154684975743294,-0.09089652117980844
2,entropy,0.06793333333333333,0.4732793971896172,0.9180080629285037,0.9846153846153847,0.06660732168688105,65,44935,0.9036378160119056,0.9651175901293754,0.9651175901293754,0.5962389454245567,0.6147977411746979,0.05604374036192894,-0.32128559835583825
3,entropy,0.06062222222222222,0.5398762077093124,0.7102589600255892,0.7682926829268293,0.05803372290124007,164,44836,0.9051539868116378,0.9051539868116378,0.9660336166620254,0.6007558375597,0.6087962985038757,0.0731462612748146,-0.24806927494566275
4,entropy,0.06653333333333333,0.5996115058660507,0.7671276609329707,0.8293650793650794,0.0622374184321087,252,44748,0.8639990836381912,0.9168765991926193,0.9697541147470474,0.758244052529335,0.528775155544281,0.07250051945447922,-0.1985457199736135
5,entropy,0.08295555555555556,0.5480665266513824,0.7491791063535721,0.8297872340425532,0.08060812768898103,141,44859,0.8099749982357025,0.8099749982357025,0.9147383868694305,0.5480665266513824,0.5238169431686401,0.08624851703643799,-0.040847141022933395
6,entropy,0.09815555555555555,0.43482793867588043,0.7904989614950437,0.8867924528301887,0.096293491335145,106,44894,0.763084277510643,0.894386813044548,0.894386813044548,0.43482793867588043,0.6565126776695251,0.10778360068798065,-0.0737905885828692
7,entropy,0.09986666666666667,0.4588279992341995,0.6531523486336845,0.75,0.09684765136631542,208,44792,0.7090545684099198,0.7716112107038499,0.8967244952917099,0.7090545684099198,0.6255664229393005,0.11254708468914032,-0.020350190995769252
8,entropy,0.12675555555555557,0.2602725505828858,0.8767514502454261,1.0,0.12324854975457385,180,44820,0.686231541633606,0.77142333984375,0.856615138053894,0.4306561470031738,0.8519179821014404,0.12559513747692108,-0.16843596381916803
9,entropy,0.13748888888888888,0.1958633165806532,0.866380946003259,1.0,0.133619053996741,201,44799,0.6598455000668764,0.8454383734613657,0.8454383734613657,0.3814561899751425,0.9279643669724464,0.1515844166278839,-0.21417354984511447
10,entropy,0.15044444444444444,0.1855570962652564,0.7876145763469707,0.9333333333333333,0.1457187569863626,270,44730,0.657415040768683,0.7517866296693683,0.8461582185700536,0.46867186296731234,0.9437158890068531,0.1551319807767868,-0.24492908149390102
11,entropy,0.18722222222222223,0.16578678265213964,0.7837676421442106,0.9574742268041238,0.17370658465991318,776,44224,0.6467933677136897,0.7429946847259998,0.8391960017383098,0.2619880996644497,0.9620131701231003,0.17258615791797638,-0.3646848146371924
12,entropy,0.214,0.15467850875575095,0.7058329397970463,0.8995363214837713,0.19370338168672493,1294,43706,0.547505437512882,0.6457121697021648,0.7439189018914476,0.4492987053235993,0.9820673218928277,0.19488058984279633,-0.3372340025233181
13,entropy,0.20306666666666667,0.15549760730937123,0.7968149846851491,0.9723472668810289,0.17553228219587985,1555,43445,0.5438586701638997,0.7380392015911639,0.835129467304796,0.34967813873663545,0.9709026571363211,0.20957621932029724,-0.4419857348663436
14,entropy,0.2586,0.15028174633043817,0.6338381376693459,0.8497033618984838,0.21586522422913787,3034,41966,0.446993612224469,0.6448015228204895,0.84260943341651,0.5458975675224792,0.9890395529801026,0.24123303592205048,-0.44494285054639543
15,entropy,0.28535555555555553,0.14919005589326845,0.702195140610394,0.9415959252971138,0.23940078468671977,2945,42055,0.4448326255311258,0.7404751951689832,0.8390227183816024,0.24773757910588756,0.9854752321261913,0.23912052810192108,-0.48860361617232795
16,entropy,0.2131111111111111,0.14990162493195386,0.6297510412373295,0.8081418782748891,0.17839083703755967,2481,42519,0.44578540094662455,0.6430412516230717,0.8402971022995189,0.14990162493195386,0.9862792533822358,0.23617704212665558,-0.34303411079834545
17,entropy,0.25995555555555555,0.15089237060165034,0.6960503484468019,0.9145522388059701,0.21850189035916825,2680,42320,0.44872810152592135,0.5480066785006784,0.7465638324501924,0.25017094757640734,0.9927857697475702,0.22850766777992249,-0.39011372815190454
18,entropy,0.3003111111111111,0.14868401978164913,0.6535787680311025,0.8963168516649849,0.24273808363388244,3964,41036,0.4436116887256503,0.6402301346883179,0.8368485806509853,0.24699324276298287,0.9830922298133373,0.24834683537483215,-0.4657075156096493
19,entropy,0.3161111111111111,0.14847779242845716,0.6550873252755696,0.8914233576642335,0.23633603238866396,5480,39520,0.3461520809709327,0.6426635137846459,0.8403378023271215,0.14847779242845716,0.9883714427123778,0.27463391423225403,-0.5146763473748976
