epoch,method,overall_accuracy,optimal_threshold_max_diff,max_accuracy_difference,easy_accuracy,hard_accuracy,easy_samples,hard_samples,threshold_p25,threshold_p50,threshold_p75,bimodal_threshold,difficulty_range,difficulty_std,difficulty_correlation
0,margin,0.02,0.9891710877418518,0.2785021655809621,0.2948073701842546,0.01630520460329257,597,44403,0.9917150139808655,0.9980748295783997,0.9980748295783997,0.9942589402198792,0.01271963119506836,0.003186002839356661,-0.02910791912215465
1,margin,0.03957777777777778,0.957342091202736,0.9620684281993633,1.0,0.037931571800636645,77,44923,0.9952599674463272,0.9952599674463272,0.9952599674463272,0.9763010293245316,0.09479469060897827,0.0035675314720720053,-0.2743209867354272
2,margin,0.06793333333333333,0.7963795274496079,0.9330619327282434,1.0,0.06693806727175654,48,44952,0.9843366116285324,0.9843366116285324,0.9843366116285324,0.8590318888425827,0.31326180696487427,0.013090942054986954,-0.3143795550536383
3,margin,0.06062222222222222,0.7791850328445435,0.7881687742678186,0.8468468468468469,0.05867807257902827,111,44889,0.983014178276062,0.983014178276062,0.983014178276062,0.9150711297988892,0.33971524238586426,0.020983370020985603,-0.30635561800444006
4,margin,0.06653333333333333,0.7118456035852432,0.934047851996798,1.0,0.065952148003202,28,44972,0.9830497413873672,0.9830497413873672,0.9830497413873672,0.8813481897115708,0.33900517225265503,0.024625694379210472,-0.23456303348969298
5,margin,0.08295555555555556,0.7346174269914627,0.5099430028387403,0.5925925925925926,0.08264958975385231,27,44973,0.9823077172040939,0.9823077172040939,0.9823077172040939,0.8407704085111618,0.3538432717323303,0.029766395688056946,-0.08351975597225583
6,margin,0.09815555555555555,0.5569683939218522,0.5271255780860904,0.625,0.09787442191390965,24,44976,0.9739389806985855,0.9739389806985855,0.9739389806985855,0.6090897172689438,0.5212132334709167,0.055190309882164,-0.04209568058431479
7,margin,0.09986666666666667,0.5754699915647508,0.9009942834263852,1.0,0.09900571657361479,43,44957,0.975027534365654,0.975027534365654,0.975027534365654,0.6254146844148636,0.49944692850112915,0.05349918082356453,-0.10642009815035477
8,margin,0.12675555555555557,0.3184363275766373,0.8763408487767891,1.0,0.1236591512232109,159,44841,0.8797228306531906,0.9599066168069839,0.9599066168069839,0.719355258345604,0.8018378615379333,0.08632785826921463,-0.17367886219577228
9,margin,0.13748888888888888,0.3152901530265808,0.8672327114288907,1.0,0.13276728857110937,245,44755,0.9543526768684387,0.9543526768684387,0.9543526768684387,0.680468738079071,0.9129464626312256,0.0944323018193245,-0.3065851359444427
10,margin,0.15044444444444444,0.20225235521793367,0.8536530903894248,1.0,0.1463469096105752,216,44784,0.953073611855507,0.953073611855507,0.953073611855507,0.4838103264570236,0.9385265707969666,0.10787198692560196,-0.33834917358253486
11,margin,0.18722222222222223,0.17213089466094972,0.8096474494451147,0.9879275653923542,0.17828011594723953,497,44503,0.8539041757583619,0.9513003587722779,0.9513003587722779,0.2695270776748657,0.9739618301391602,0.1537805199623108,-0.36665708900082855
12,margin,0.214,0.15475192070007326,0.7191991053583325,0.9210526315789473,0.20185352622061484,760,44240,0.8508366107940675,0.9502772808074951,0.9502772808074951,0.5525146007537842,0.9944067001342773,0.1838228404521942,-0.3974006334691035
13,margin,0.20306666666666667,0.15949126183986662,0.7818099192332322,0.9676767676767677,0.18586684844353557,990,44010,0.851674535870552,0.9505578607320786,0.9505578607320786,0.3572579115629196,0.9888332486152649,0.18785130977630615,-0.4747454963870864
14,margin,0.2586,0.15136686861515047,0.6550820546107977,0.8861831656961355,0.23110111108533785,1889,43111,0.7504003793001175,0.9500782161951065,0.9500782161951065,0.5507225424051285,0.9983891844749451,0.2343122661113739,-0.46180855247099156
15,margin,0.28535555555555553,0.1506854325532913,0.7191952525481249,0.97148380860319,0.2522885560550651,2069,42931,0.7502015978097916,0.9500403195619582,0.9500403195619582,0.8501209586858749,0.9991936087608337,0.2338327318429947,-0.5052709376576987
16,margin,0.2131111111111111,0.15109390318393706,0.6814711425369331,0.8691255205234979,0.18765437798656479,1681,43319,0.6504493087530137,0.8501914709806442,0.9500625520944594,0.15109390318393706,0.9987108111381531,0.24259844422340393,-0.31636297277841635
17,margin,0.25995555555555555,0.15092335939407348,0.7235054903334728,0.9530095036958818,0.22950401336240894,1894,43106,0.750265896320343,0.8501563191413879,0.9500467419624328,0.2508137822151184,0.9989042282104492,0.23572510480880737,-0.45913294167317437
18,margin,0.3003111111111111,0.15068336129188536,0.6784338880517868,0.9356418328086744,0.2572079447568876,2859,42141,0.6502812087535859,0.850120347738266,0.950039917230606,0.5503616392612457,0.9991956949234009,0.25994598865509033,-0.49441463023204724
19,margin,0.3161111111111111,0.15011436343193052,0.6758493797700551,0.9312391788276033,0.25538979905754816,4043,40957,0.6500469505786894,0.8500199854373931,0.950006502866745,0.3500873982906341,0.9998651742935181,0.28735998272895813,-0.5357557940803014
