epoch,method,overall_accuracy,optimal_threshold_max_diff,max_accuracy_difference,easy_accuracy,hard_accuracy,easy_samples,hard_samples,threshold_p25,threshold_p50,threshold_p75,bimodal_threshold,difficulty_range,difficulty_std,difficulty_correlation
0,reconstruction,0.02,0.15000000000000002,0.009925468196496784,0.02881558028616852,0.018890112089671736,5032,39968,0.35000000000000003,0.55,0.75,0.45,1.0,0.24432750046253204,-0.01372257242221811
1,reconstruction,0.03957777777777778,0.45,0.0044705502964689295,0.0405309984465471,0.03606044815007817,35405,9595,0.15000000000000002,0.25,0.45,0.45,1.0,0.23369553685188293,-0.0048452253444181805
2,reconstruction,0.06793333333333333,0.15000000000000002,0.02219988454442607,0.0818117144889732,0.05961182994454713,16868,28132,0.15000000000000002,0.25,0.45,0.55,1.0,0.23949605226516724,-0.033874530159834305
3,reconstruction,0.06062222222222222,0.15000000000000002,0.017192596513390432,0.07188910380399742,0.05469650729060699,15510,29490,0.15000000000000002,0.25,0.45,0.55,1.0,0.23494400084018707,-0.031180956958959217
4,reconstruction,0.06653333333333333,0.45,0.009165676434267571,0.06835709926205404,0.059191422827786465,36046,8954,0.15000000000000002,0.25,0.45,0.45,1.0,0.22933901846408844,-0.011405708411037274
5,reconstruction,0.08295555555555556,0.15000000000000002,0.006921477516689645,0.08665362408741709,0.07973214657072744,20957,24043,0.15000000000000002,0.25,0.35000000000000003,0.55,1.0,0.22985120117664337,-0.010115205991214031
6,reconstruction,0.09815555555555555,0.25,0.03402737118763412,0.11242965968686598,0.07840228849923186,26123,18877,0.15000000000000002,0.25,0.45,0.25,1.0,0.23896117508411407,-0.04644369947604574
7,reconstruction,0.09986666666666667,0.15000000000000002,0.015795653062361345,0.10938898836168308,0.09359333529932173,17872,27128,0.15000000000000002,0.25,0.45,0.55,1.0,0.2328856885433197,-0.0161758927816272
8,reconstruction,0.12675555555555557,0.15000000000000002,0.018768759675084165,0.13795383174480744,0.11918507206972327,18151,26849,0.15000000000000002,0.25,0.45,0.55,1.0,0.2368001639842987,-0.0099753064229448
9,reconstruction,0.13748888888888888,0.15000000000000002,0.012282576529169587,0.144632708344399,0.13235013181522942,18827,26173,0.15000000000000002,0.25,0.45,0.15000000000000002,1.0,0.23198099434375763,-0.0002826662718674281
10,reconstruction,0.15044444444444444,0.15000000000000002,0.029139814043455253,0.1676822633297062,0.13854244928625095,18380,26620,0.15000000000000002,0.25,0.45,0.55,1.0,0.23536375164985657,-0.03573481556776345
11,reconstruction,0.18722222222222223,,0.0,,,0,0,0.15000000000000002,0.25,0.45,0.55,1.0,0.23051248490810394,0.06236664947507923
12,reconstruction,0.214,0.15000000000000002,0.01706638685514586,0.22355793514496414,0.20649154828981828,19798,25202,0.15000000000000002,0.25,0.45,0.55,1.0,0.2288813591003418,-0.005035981390335117
13,reconstruction,0.20306666666666667,,0.0,,,0,0,0.15000000000000002,0.25,0.45,0.55,1.0,0.22861456871032715,0.07686799307606415
14,reconstruction,0.2586,,0.0,,,0,0,0.15000000000000002,0.25,0.45,0.55,1.0,0.23283690214157104,0.06045613510297621
15,reconstruction,0.28535555555555553,,0.0,,,0,0,0.15000000000000002,0.25,0.45,0.55,1.0,0.22917452454566956,0.11095908780454383
16,reconstruction,0.2131111111111111,,0.0,,,0,0,0.15000000000000002,0.25,0.45,0.55,1.0,0.2369198501110077,0.07710662510288133
17,reconstruction,0.25995555555555555,,0.0,,,0,0,0.15000000000000002,0.25,0.45,0.55,1.0,0.23333042860031128,0.06708035215793376
18,reconstruction,0.3003111111111111,,0.0,,,0,0,0.15000000000000002,0.25,0.45,0.55,1.0,0.23384830355644226,0.0955897912345335
19,reconstruction,0.3161111111111111,,0.0,,,0,0,0.15000000000000002,0.25,0.45,0.55,1.0,0.23269854485988617,0.08902741251668837
